Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Cole Constable,Quinnipiac,SO,C,0.254,0.409,0.342,0.752,38,155,114,22,29,4,0,2,18,8,24,16,11,2
Alex Bemis,Ohio State,JR,LF,0.254,0.397,0.435,0.832,54,244,193,47,49,9,1,8,35,12,35,50,8,7
Maddox McDonald,Penn State,SR,CF,0.254,0.336,0.342,0.678,39,135,114,17,29,2,1,2,15,2,13,45,10,2
Nic Pepe,Maine,JR,2B,0.254,0.432,0.428,0.859,42,191,138,26,35,3,0,7,28,13,34,28,4,0
Sohrab Rezaei,Bradley,JR,SS,0.254,0.409,0.292,0.701,53,244,185,32,47,4,0,1,18,13,39,41,10,7
Jonathan Rodriguez,UMES,SO,SS,0.254,0.338,0.317,0.654,40,162,142,15,36,6,0,1,18,6,12,27,3,0
Joshua Caldwell,UMES,SO,DH,0.254,0.438,0.368,0.806,40,155,114,18,29,5,1,2,11,12,26,21,2,0
Zack Horky,Bowling Green,SR,RF,0.253,0.313,0.438,0.751,45,180,162,26,41,8,2,6,25,3,12,68,10,5
Owen Petrich,Virginia Tech,GR,3B,0.253,0.324,0.425,0.749,54,211,186,34,47,12,1,6,32,2,19,33,4,1
Luke Jenkins,UNC Greensboro,SR,RF,0.253,0.356,0.41,0.765,49,198,166,34,42,6,1,6,32,2,25,42,6,2
Abdriel Delgado,Jacksonville,JR,RF,0.253,0.349,0.36,0.709,45,179,150,25,38,7,0,3,23,2,21,37,0,0
Ryan Taylor,Pennsylvania,SR,2B,0.253,0.382,0.348,0.73,41,192,158,39,40,6,3,1,22,1,32,43,35,2
Jimmy Nati,Stanford,SR,2B,0.253,0.34,0.451,0.791,45,188,162,25,41,8,0,8,32,5,18,44,7,1
Xavier Esquer,UC Santa Barbara,JR,3B,0.253,0.35,0.411,0.761,49,187,158,27,40,9,2,4,31,6,18,39,2,2
Carter Hewitt,Army,SR,1B,0.253,0.36,0.348,0.708,44,188,158,22,40,9,0,2,29,11,16,37,3,0
Will Tippett,College of Charleston,GR,SS,0.253,0.352,0.494,0.846,50,195,162,32,41,12,0,9,30,7,20,45,8,2
Joey Dwyer,Saint Peter&#8217;s,SR,LF,0.253,0.339,0.3,0.639,42,173,150,21,38,4,0,1,14,1,19,31,10,4
Damian Rodriguez,Iona,SR,CF,0.253,0.351,0.324,0.675,43,207,170,31,43,9,0,1,17,9,20,39,21,3
RJ Mustaro,Monmouth,JR,RF,0.253,0.341,0.438,0.78,50,208,178,27,45,10,1,7,34,7,19,54,11,2
John Lemm,Alabama,SR,C,0.253,0.383,0.462,0.844,54,223,182,39,46,9,1,9,33,8,31,51,1,0
TJ Swidorski,Cornell,SR,1B,0.252,0.336,0.403,0.739,34,144,119,16,30,6,0,4,25,10,6,37,0,2
Kanoa Morisaki,CSU Bakersfield,JR,C,0.252,0.394,0.419,0.813,51,194,155,28,39,12,1,4,28,8,29,42,3,4
Jaixen Frost,Iowa,SO,3B,0.252,0.399,0.459,0.858,42,146,111,27,28,6,1,5,24,10,19,38,0,2
Scott Donahue,UMass Lowell,JR,C,0.252,0.341,0.336,0.677,39,138,119,21,30,8,1,0,22,6,11,29,3,1
Tommy Googins,Princeton,JR,SS,0.252,0.338,0.382,0.72,38,149,131,18,33,6,1,3,17,3,14,47,1,3
Jack McMullan,Longwood,SO,C,0.252,0.374,0.4,0.774,48,194,155,21,39,9,1,4,27,5,26,49,2,1
Mateo Garcia,Santa Clara,SR,DH,0.252,0.352,0.439,0.791,48,146,123,20,31,16,2,1,13,8,12,24,0,0
Danny Cook,Pepperdine,SO,LF,0.252,0.317,0.354,0.671,41,144,127,12,32,7,0,2,18,5,8,34,5,0
Austin Jacobs,UCF,FR,2B,0.252,0.348,0.308,0.655,45,173,143,25,36,3,1,1,22,3,18,33,4,0
Cade Norton,Winthrop,SO,C,0.252,0.343,0.367,0.71,44,170,139,30,35,3,2,3,24,11,11,35,11,1
KJ Scobey,South Carolina,SO,SS,0.252,0.307,0.455,0.762,57,244,222,24,56,16,1,9,36,0,19,58,0,2
Tanner Hardin,Wofford,SO,2B,0.252,0.407,0.33,0.737,42,154,115,23,29,6,0,1,23,8,24,18,8,3
Owen Turner,Yale,SO,C,0.252,0.377,0.403,0.78,37,151,119,20,30,9,3,1,15,9,16,40,5,2
Boden Fernsler,Lafayette,SO,RF,0.252,0.337,0.517,0.854,43,174,151,24,38,12,2,8,26,9,11,58,3,3
Blaze Rodriguez,Louisiana,FR,SS,0.252,0.377,0.304,0.681,66,284,230,42,58,10,1,0,22,7,39,41,15,8
Avery Smith,Penn State,FR,C,0.252,0.373,0.398,0.771,39,130,103,12,26,1,1,4,17,6,15,29,1,0
Keegan Knupp,Eastern Michigan,FR,1B,0.252,0.34,0.308,0.647,42,166,143,20,36,2,0,2,15,5,14,21,7,2
TJ Rogers,San Francisco,GR,SS,0.251,0.39,0.498,0.887,54,249,203,38,51,12,1,12,33,8,38,73,8,0
Brady Shannon,Youngstown State,JR,LF,0.251,0.348,0.56,0.908,50,204,175,39,44,7,1,15,35,5,22,76,12,2
Anthony Avalos,Houston Christian,JR,2B,0.251,0.38,0.341,0.722,50,209,167,28,42,7,1,2,16,15,21,32,7,4
Rob Mansour,St. John&#8217;s,GR,SS,0.251,0.347,0.276,0.623,59,242,203,35,51,5,0,0,26,11,20,26,0,0
Nick Garagozzo,Georgia State,GR,2B,0.251,0.374,0.386,0.76,50,207,171,26,43,10,5,1,29,7,27,48,4,4
Cashel Dugger,UCLA,JR,C,0.251,0.378,0.382,0.76,52,233,191,34,48,10,0,5,39,8,32,40,0,0
Antonio Cordeiro,St. Bonaventure,JR,C,0.251,0.362,0.44,0.802,50,212,175,24,44,10,1,7,34,9,23,38,2,0
Kutter-Gage Webb,Rice,FR,SS,0.251,0.376,0.421,0.796,57,232,183,39,46,7,0,8,35,13,27,46,5,0
Josh Stonehouse,Xavier,FR,1B,0.251,0.371,0.483,0.854,57,248,203,41,51,8,0,13,41,27,14,64,6,0
Gunnar Johnson,Boston College,GR,C,0.25,0.354,0.379,0.732,48,169,140,15,35,12,0,2,32,8,15,35,3,1
Zachary Scott,UMass Lowell,SR,SS,0.25,0.342,0.31,0.651,48,198,168,16,42,5,1,1,27,2,22,48,5,3
Owen McElfatrick,Northwestern,SR,3B,0.25,0.336,0.475,0.812,52,232,204,35,51,11,1,11,39,1,26,56,4,1
Hugh Pinkney,Tulane,SR,C,0.25,0.376,0.388,0.764,43,144,116,16,29,2,1,4,17,6,18,20,0,1
William Parker,Army,SR,LF,0.25,0.41,0.449,0.858,46,205,156,29,39,10,0,7,40,19,26,35,3,5
Chris Marcellus,Grambling,SR,C,0.25,0.38,0.385,0.765,44,192,156,29,39,6,0,5,30,4,30,33,3,1
Dillon Can,New Jersey Tech,SR,1B,0.25,0.331,0.354,0.685,41,170,144,21,36,6,0,3,17,4,15,15,1,0
JC Spinosa,Canisius,JR,SS,0.25,0.361,0.386,0.747,39,159,132,23,33,6,3,2,21,7,17,35,9,2
Mikey Murphy,Campbell,JR,CF,0.25,0.366,0.431,0.798,44,194,160,40,40,11,3,4,22,10,20,52,17,2
Michael DiMartini,Duke,JR,CF,0.25,0.281,0.457,0.738,48,192,184,29,46,9,1,9,28,1,7,52,14,2
Parker Coley,Western Kentucky,GR,CF,0.25,0.325,0.361,0.686,47,168,144,21,36,9,2,1,17,3,14,29,18,4
Alex Brazer,Northern Kentucky,SO,SS,0.25,0.335,0.439,0.774,53,205,180,33,45,7,0,9,50,4,19,57,3,1
Grant Watkins,Abilene Christian,SR,1B,0.25,0.361,0.617,0.978,51,233,196,44,49,12,0,20,51,7,28,63,1,0
Alex Hebenstreit,St. Bonaventure,SR,DH,0.25,0.37,0.344,0.714,41,155,128,17,32,6,0,2,16,5,20,28,0,0
Josh Ibe,Stephen F. Austin,SR,DH,0.25,0.359,0.451,0.81,44,171,144,33,36,8,0,7,27,2,23,43,2,1
Andrew Rayment,Santa Clara,SO,CF,0.25,0.32,0.379,0.699,47,150,132,18,33,6,4,1,7,3,11,44,12,1
Tate Vogler,Columbia,SO,1B,0.25,0.326,0.392,0.718,35,135,120,21,30,3,1,4,14,2,12,26,1,1
Grant MacArthur,Pacific,SR,1B,0.25,0.375,0.372,0.747,52,216,172,30,43,6,0,5,33,10,28,35,1,0
Peter Crespo,Rider,SO,DH,0.25,0.431,0.5,0.931,41,144,108,22,27,7,1,6,24,3,32,33,1,0
Jayden Alvarez,Wagner,SO,3B,0.25,0.408,0.324,0.732,45,179,136,23,34,10,0,0,30,13,24,27,8,2
Conner Cunningham,Murray State,SO,SS,0.25,0.359,0.378,0.737,47,196,164,27,41,10,1,3,24,10,19,35,3,1
Trevian Martinez,UC San Diego,SO,C,0.25,0.402,0.349,0.751,48,198,152,27,38,10,1,1,32,18,22,36,0,0
Reyfield Adams III,Alcorn State,SR,CF,0.25,0.409,0.294,0.703,48,205,160,32,40,7,0,0,22,12,31,34,20,3
Mason Barth,Notre Dame,FR,2B,0.25,0.393,0.375,0.768,48,192,152,33,38,7,0,4,25,9,28,48,6,1
Will Rudolph,Sacred Heart,FR,RF,0.25,0.335,0.327,0.662,45,191,168,29,42,7,0,2,21,5,17,39,2,1
Misael Uriepero,Youngstown State,FR,SS,0.25,0.344,0.293,0.638,54,216,184,24,46,8,0,0,15,8,19,56,11,4
Emilio Feliciano,Coppin State,JR,SS,0.25,0.324,0.289,0.613,41,171,152,19,38,3,0,1,14,4,13,29,4,3
Ty Sallie,New Jersey Tech,SR,CF,0.249,0.376,0.33,0.706,47,227,185,38,46,7,1,2,22,6,33,49,20,4
Amman Dewberry,Presbyterian,JR,RF,0.249,0.326,0.458,0.784,56,224,201,32,50,7,1,11,36,3,20,65,1,4
Owen Silliman,Canisius,SR,CF,0.249,0.346,0.457,0.803,48,207,173,26,43,8,2,8,28,2,26,58,17,4
Charlie Meglio,Rutgers,JR,3B,0.249,0.362,0.463,0.825,56,243,201,40,50,9,2,10,37,7,31,46,4,0
Connor Scanlan,Fairfield,SO,1B,0.249,0.312,0.349,0.662,54,237,209,30,52,12,0,3,32,1,21,47,2,2
Tyler Howe,North Carolina,FR,LF,0.249,0.377,0.349,0.726,56,233,189,36,47,7,0,4,30,11,28,46,4,0
Andrew Marcello,Canisius,SR,LF,0.248,0.37,0.333,0.703,37,130,105,18,26,2,2,1,10,11,10,39,8,3
Taeg Gollert,Missouri State,SR,RF,0.248,0.36,0.532,0.891,55,267,222,44,55,13,1,16,64,11,30,60,3,2
Zack Kent,Binghamton,SR,2B,0.248,0.364,0.314,0.678,44,186,153,31,38,5,1,1,20,6,23,16,5,2
Aidan O'Keefe,Richmond,JR,3B,0.248,0.379,0.344,0.723,43,157,125,19,31,3,0,3,17,3,24,24,4,1
John Vitucci,Albany,SO,RF,0.248,0.381,0.271,0.653,46,160,129,16,32,3,0,0,12,0,29,38,10,1
Ty Barrango,Coastal Carolina,SR,SS,0.248,0.428,0.299,0.727,55,191,137,33,34,4,0,1,23,17,26,37,7,1
Jack Stead,New Jersey Tech,JR,2B,0.248,0.322,0.395,0.717,41,181,157,24,39,9,1,4,30,5,13,31,2,0
Colten Becker,North Dakota State,SR,LF,0.248,0.367,0.412,0.779,45,202,165,29,41,6,0,7,22,8,24,61,3,6
Caleb Corbin,North Dakota State,SR,3B,0.248,0.366,0.36,0.727,43,192,161,21,40,7,1,3,18,7,23,33,5,0
Brandon O'Neill,Central Connecticut,SO,2B,0.248,0.287,0.345,0.631,39,157,145,24,36,8,0,2,19,0,9,42,3,0
Alejandro Puig,Dartmouth,SO,SS,0.248,0.347,0.318,0.664,39,150,129,16,32,7,1,0,12,7,13,18,7,5
Rohne Klein,San Jose State,SO,1B,0.248,0.354,0.41,0.764,42,127,105,20,26,5,0,4,22,6,13,33,0,0
Tucker Biehl,Akron,JR,SS,0.248,0.407,0.304,0.711,43,173,125,29,31,5,1,0,10,10,25,27,14,5
Zach Anderson,Binghamton,JR,DH,0.248,0.333,0.441,0.775,46,169,145,11,36,7,0,7,23,8,11,32,0,1
Gar Hindle,Elon,FR,2B,0.248,0.391,0.326,0.717,44,181,141,20,35,8,0,1,23,5,30,28,4,1
Kai Mault,UC Davis,FR,CF,0.248,0.331,0.359,0.691,44,178,153,17,38,7,2,2,25,4,16,44,3,0
Kenyon Hughes,Southern,FR,3B,0.248,0.381,0.299,0.681,45,199,157,34,39,4,2,0,32,10,25,19,4,0
Daylan Pena,Murray State,GR,LF,0.247,0.373,0.354,0.727,60,242,198,33,49,12,0,3,36,6,35,29,3,2
Jax Sorenson,Liberty,SR,1B,0.247,0.338,0.346,0.685,62,274,231,39,57,11,0,4,51,6,29,64,4,1
Brady Bean,Portland,SR,CF,0.247,0.346,0.374,0.72,52,234,198,40,49,10,0,5,30,3,28,49,10,5
Draven Nushida,Hawaii,SR,LF,0.247,0.309,0.288,0.596,46,164,146,13,36,3,0,1,16,3,11,19,3,1
Levi McAllister,Albany,JR,C,0.247,0.312,0.313,0.625,46,199,182,28,45,6,0,2,30,3,14,50,1,2
Luke Yuhasz,South Carolina,SR,RF,0.247,0.288,0.418,0.706,43,157,146,22,36,10,0,5,20,1,8,52,1,1
Brent Cota,San Jose State,GR,CF,0.247,0.351,0.399,0.75,48,191,158,19,39,11,2,3,29,11,16,35,1,3
Preston Curtis,Houston Christian,SR,LF,0.247,0.311,0.46,0.771,48,193,174,34,43,11,1,8,41,4,13,50,0,0
Balin Valentine,Lamar,SR,RF,0.247,0.345,0.315,0.66,53,169,146,23,36,7,0,1,14,6,16,47,4,1
Tim Dickinson,Saint Joseph&#8217;s,JR,2B,0.247,0.394,0.392,0.787,55,238,186,32,46,11,2,4,37,14,33,40,11,1
Brandon Stinnett,Seattle,JR,2B,0.247,0.32,0.361,0.681,46,180,158,20,39,6,0,4,15,7,10,35,0,0
Tyler Bak,South Carolina,JR,CF,0.247,0.355,0.404,0.759,56,233,198,30,49,9,2,6,28,9,24,60,9,1
Collin Jennings,Illinois,JR,RF,0.247,0.388,0.561,0.948,55,246,198,55,49,8,3,16,47,14,32,59,9,1
Pierre Seals,Missouri,GR,RF,0.247,0.328,0.386,0.713,45,186,166,23,41,6,1,5,23,2,18,56,5,2
Jaden Flores,Southern Illinois,SR,3B,0.247,0.33,0.402,0.732,52,208,174,32,43,10,1,5,19,11,13,47,10,0
Bruce Jellison,Eastern Michigan,SR,3B,0.247,0.389,0.333,0.722,49,204,162,24,40,5,0,3,30,12,27,34,1,1
Nick Venteicher,Creighton,SO,2B,0.247,0.328,0.349,0.678,52,201,166,21,41,2,0,5,33,6,17,30,8,2
Mike Samarin,Mercyhurst,FR,RF,0.247,0.385,0.4,0.785,46,193,150,25,37,7,2,4,33,5,32,36,5,1
Thad Ector,Gardner-Webb,SR,RF,0.246,0.411,0.333,0.744,44,167,126,31,31,8,0,1,11,6,30,38,17,0
Ryan Recio,Richmond,GR,1B,0.246,0.371,0.532,0.903,47,160,126,26,31,9,0,9,28,8,20,37,4,3
CJ Richmond,Purdue,GR,1B,0.246,0.373,0.46,0.833,56,228,187,44,46,10,0,10,38,12,27,64,5,1
Brady Krzciok,Central Michigan,SR,1B,0.246,0.348,0.456,0.804,46,207,171,37,42,7,1,9,40,5,24,43,3,2
Cal Fisher,Florida State,JR,3B,0.246,0.343,0.367,0.71,59,239,199,35,49,9,0,5,31,9,22,43,1,0
Steven Spalitta,Louisiana,JR,DH,0.246,0.36,0.387,0.747,62,237,199,33,49,9,2,5,35,8,28,39,8,8
Trent Rucker,Incarnate Word,SR,CF,0.246,0.311,0.415,0.726,47,193,171,29,42,5,0,8,32,4,13,48,8,1
Matthew Minckler,Delaware,JR,SS,0.246,0.335,0.326,0.661,44,162,138,19,34,5,0,2,14,2,18,33,13,0
Edoardo Cornelli,Omaha,FR,2B,0.246,0.359,0.338,0.698,38,157,130,23,32,5,2,1,16,5,18,25,4,0
Connor Price,Georgetown,GR,C,0.245,0.369,0.457,0.826,46,187,151,31,37,8,0,8,28,10,22,53,2,0
Nico Senese,Georgia Southern,JR,3B,0.245,0.285,0.385,0.67,52,209,192,22,47,12,0,5,29,4,8,31,1,0
Mic Paul,Washington,JR,CF,0.245,0.401,0.37,0.77,55,233,184,28,45,8,3,3,26,5,43,60,11,3
Ryan Bakes,Illinois State,JR,C,0.245,0.375,0.5,0.875,53,241,192,40,47,13,0,12,35,13,30,60,6,1
Conlon Walker,George Washington,JR,RF,0.245,0.299,0.365,0.664,46,180,159,17,39,7,0,4,28,1,13,37,3,2
Cale Clark,Alabama State,JR,DH,0.245,0.339,0.302,0.641,50,187,159,21,39,4,1,1,20,5,18,28,0,1
Rocco Caballero,San Jose State,SR,SS,0.245,0.304,0.354,0.658,51,220,192,27,47,9,0,4,27,6,12,31,1,0
Andrew Mhoon,Loyola Marymount,FR,2B,0.245,0.355,0.387,0.742,47,183,155,29,38,7,0,5,24,8,19,40,8,0
Connor Lawrence,Marist,FR,DH,0.245,0.422,0.371,0.793,45,188,143,41,35,4,1,4,28,7,37,54,10,1
Joey Wright,UC Davis,SR,2B,0.244,0.376,0.34,0.716,52,198,156,25,38,9,0,2,17,9,26,38,6,1
Mike Toth,Mount St. Mary&#8217;s,SR,C,0.244,0.44,0.321,0.761,36,111,78,21,19,3,0,1,8,10,19,14,9,2
Lew Rice,Creighton,GR,LF,0.244,0.34,0.325,0.665,48,189,160,25,39,7,0,2,16,4,21,31,5,1
Jack Brooks,Oregon,JR,CF,0.244,0.374,0.405,0.779,55,210,168,32,41,7,1,6,27,6,29,53,16,3
Justin Santoyo,North Alabama,GR,3B,0.244,0.373,0.368,0.742,57,251,201,34,49,11,1,4,29,16,28,34,0,1
Dylan Littlefield,Eastern Kentucky,FR,DH,0.244,0.337,0.459,0.797,55,247,209,37,51,9,0,12,41,15,17,42,5,1
Liam Wilson,Harvard,SO,C,0.244,0.316,0.361,0.677,34,133,119,17,29,9,1,1,10,5,8,45,3,0
Gabe Wuerth,West Georgia,SR,2B,0.244,0.364,0.386,0.75,50,212,176,39,43,7,0,6,21,12,21,39,3,0
Troy Carpenter,Maine,FR,3B,0.244,0.349,0.512,0.861,56,249,213,41,52,7,1,16,53,7,28,65,3,2
CJ Deckinga,Michigan State,FR,3B,0.244,0.338,0.406,0.744,51,207,180,29,44,11,0,6,30,4,22,47,4,0
Jack Quick,Wichita State,JR,RF,0.244,0.338,0.405,0.742,45,152,131,22,32,9,0,4,24,5,14,31,0,0
Chase Ecker,William &#038; Mary,FR,CF,0.244,0.32,0.284,0.604,49,205,176,29,43,5,1,0,18,4,17,52,27,1
Henry Murray,Dartmouth,FR,LF,0.244,0.34,0.349,0.689,35,101,86,9,21,2,2,1,12,6,7,16,2,0
Boston Kellner,Texas A&#038;M,FR,SS,0.244,0.423,0.396,0.819,55,223,164,40,40,8,1,5,30,10,43,44,1,0
Javon Hernandez,Memphis,GR,SS,0.243,0.351,0.356,0.707,58,262,222,49,54,11,1,4,22,10,27,37,27,2
Luke Filippi,Albany,SR,CF,0.243,0.348,0.322,0.671,46,178,152,26,37,7,1,1,18,5,20,40,5,3
Thomas Cooper,Valparaiso,JR,3B,0.243,0.314,0.411,0.725,48,204,185,27,45,10,0,7,24,6,13,41,6,1
Filip Sarota,Lindenwood,GR,RF,0.243,0.314,0.335,0.649,53,210,185,28,45,11,0,2,32,7,14,36,4,1
Andrew Manning,Navy,JR,DH,0.243,0.335,0.347,0.682,49,198,173,21,42,6,3,2,29,2,22,48,6,3
Nick Mullen,George Washington,JR,SS,0.243,0.323,0.367,0.69,48,193,169,19,41,13,1,2,23,6,15,42,5,3
Brayden Randle,Ole Miss,JR,SS,0.243,0.331,0.351,0.683,45,174,148,19,36,5,1,3,19,5,16,30,4,1
Tyshon Patty,Jackson State,JR,1B,0.243,0.327,0.337,0.664,48,199,169,26,41,10,0,2,33,3,20,30,3,0
Carter Mottice,Bowling Green,SO,CF,0.243,0.354,0.338,0.692,44,177,148,17,36,6,1,2,19,8,18,26,7,4
Jay Slater,Northwestern,FR,C,0.243,0.329,0.449,0.778,43,156,136,17,33,8,1,6,25,6,12,25,0,0
Jordan Lodise,UCF,FR,SS,0.243,0.338,0.4,0.738,55,229,185,38,45,14,0,5,29,2,28,41,4,0
Max Berrisford,St. Thomas,FR,C,0.243,0.362,0.313,0.675,39,141,115,20,28,8,0,0,12,6,16,19,0,0
Sergio Rivera,Bethune-Cookman,GR,CF,0.242,0.388,0.312,0.7,50,200,157,43,38,2,0,3,25,10,28,35,23,1
Joey Spence,Milwaukee,SR,C,0.242,0.336,0.392,0.729,54,216,186,28,45,14,1,4,34,5,22,51,7,1
Maddix Dalena,Connecticut,JR,3B,0.242,0.379,0.424,0.804,49,205,165,35,40,8,2,6,33,6,31,41,1,1
Gabe Miranda,Oregon,JR,1B,0.242,0.369,0.391,0.76,45,160,128,26,31,4,0,5,18,10,17,51,1,0
Eli Riley,Valparaiso,GR,C,0.242,0.34,0.315,0.654,50,211,178,23,43,10,0,1,18,6,21,41,5,4
Kam Edwards,Lindenwood,GR,CF,0.242,0.352,0.34,0.691,57,257,215,39,52,14,2,1,15,8,29,59,22,1
Mateo Serna,Missouri,JR,C,0.242,0.363,0.314,0.676,44,183,153,19,37,5,0,2,21,12,17,49,1,0
Kyler Proctor,Austin Peay,JR,2B,0.242,0.323,0.343,0.666,52,231,198,27,48,12,1,2,30,7,18,51,11,3
Dariel Osoria,Kansas,SR,DH,0.242,0.377,0.454,0.83,52,247,194,49,47,12,1,9,42,8,38,40,4,0
Colin Richter,Monmouth,SO,CF,0.242,0.392,0.422,0.815,53,211,161,40,39,8,3,5,30,13,28,55,16,6
Robert Pitts,UC Riverside,SR,CF,0.242,0.319,0.409,0.727,51,207,186,29,45,7,3,6,23,6,15,42,10,4
Levi Clark,Tennessee,SO,1B,0.242,0.352,0.51,0.862,55,233,194,43,47,13,0,13,44,9,26,46,2,0
Theo Loughlin,Davidson,FR,1B,0.242,0.392,0.323,0.715,41,158,124,20,30,7,0,1,26,2,30,45,2,0
Thomas Mathay,Queens (NC),JR,RF,0.242,0.304,0.306,0.61,47,171,157,12,38,7,0,1,16,1,13,33,8,1
Nolan Miller,Portland,SO,RF,0.242,0.342,0.328,0.67,44,151,128,19,31,5,0,2,23,5,15,31,1,0
Christian Mitchelle,Cincinnati,SR,3B,0.241,0.35,0.368,0.717,51,212,174,27,42,5,1,5,26,9,21,45,10,1
Tyler Albright,Duke,SR,LF,0.241,0.453,0.369,0.822,48,202,141,33,34,6,0,4,27,7,50,51,21,5
Jason Torres,Alabama,SR,3B,0.241,0.367,0.409,0.776,59,253,203,30,49,8,1,8,47,6,36,57,0,0
Caleb Niehaus,Indiana State,SR,LF,0.241,0.348,0.38,0.728,47,192,158,34,38,8,1,4,27,11,15,42,7,3
Zan Von Schlegell,St. Thomas,JR,3B,0.241,0.374,0.323,0.698,41,165,133,25,32,7,2,0,10,5,24,29,1,0
Peyton Wilson,Eastern Illinois,GR,SS,0.241,0.336,0.366,0.703,53,236,191,37,46,7,1,5,38,9,21,42,5,4
Jorge Rodriguez,Bethune-Cookman,GR,1B,0.241,0.357,0.34,0.697,45,173,141,28,34,8,0,2,33,7,20,33,4,2
Anthony Cole,West Georgia,JR,LF,0.241,0.332,0.475,0.807,48,190,162,35,39,11,0,9,35,4,20,54,6,2
Taylor Harris,Ohio,JR,CF,0.241,0.359,0.367,0.726,52,199,166,30,40,12,0,3,22,14,17,44,5,3
Austin Irby,East Carolina,SO,1B,0.241,0.354,0.344,0.699,62,258,212,35,51,7,0,5,39,10,29,32,2,1
Andrew Albertus,Presbyterian,SO,LF,0.241,0.317,0.278,0.594,43,124,108,18,26,4,0,0,10,0,12,18,4,2
Dylan Lina,Long Beach State,SR,3B,0.241,0.364,0.476,0.84,51,232,187,26,45,8,0,12,46,20,19,46,1,0
Jackson Cotton,Texas State,FR,CF,0.241,0.362,0.513,0.875,54,225,187,48,45,10,1,13,35,3,33,80,12,2
Keaton Mahan,Lipscomb,SR,DH,0.24,0.377,0.333,0.711,48,161,129,25,31,7,1,1,24,3,26,37,6,3
Nick LoBello,Towson,JR,CF,0.24,0.339,0.356,0.695,48,172,146,28,35,8,3,1,25,3,20,31,11,3
Alex Espaillat,Alabama State,SO,2B,0.24,0.31,0.313,0.622,52,215,192,29,46,9,1,1,24,1,19,50,4,2
Logan Crock,Butler,SO,SS,0.24,0.36,0.331,0.691,49,192,154,31,37,6,1,2,26,7,23,32,10,6
Diego Davis,Pacific,SO,C,0.24,0.336,0.271,0.607,45,160,129,14,31,2,1,0,14,5,14,22,4,2
Austin Phillips,UT Arlington,SO,3B,0.24,0.294,0.339,0.633,46,190,171,24,41,8,0,3,16,4,10,47,2,0
Blaine Brown,Tennessee,SO,LF,0.24,0.308,0.467,0.775,59,251,225,43,54,12,0,13,42,3,20,53,5,0
Noah Haught,Richmond,FR,SS,0.24,0.333,0.305,0.639,49,178,154,19,37,8,1,0,19,2,20,41,4,0
Sam Seidel,Bowling Green,SR,2B,0.239,0.363,0.422,0.785,47,216,180,28,43,12,0,7,27,7,28,46,18,4
Nico Bañez,Dartmouth,SR,CF,0.239,0.417,0.269,0.686,39,182,134,25,32,4,0,0,11,13,28,23,15,4
Tucker Stockman,Southern Miss,JR,C,0.239,0.316,0.386,0.702,58,218,184,17,44,6,0,7,33,9,14,39,0,0
Aedan Forde,New Haven,JR,SS,0.239,0.364,0.254,0.618,46,169,134,14,32,2,0,0,19,3,24,31,4,1
KaiKea Harrison,Tulane,SR,SS,0.239,0.327,0.353,0.68,56,254,218,42,52,13,0,4,35,6,24,41,8,5
Kenneth Rhein,Seattle,JR,SS,0.239,0.375,0.361,0.736,49,228,180,36,43,16,0,2,19,7,34,27,6,2
Peter Johnson,Xavier,JR,DH,0.239,0.35,0.348,0.698,47,164,138,14,33,6,0,3,16,6,18,51,2,0
Sam Grunberg,Jacksonville,SR,1B,0.239,0.311,0.364,0.675,49,206,184,26,44,9,1,4,22,8,12,52,2,0
Caleb King,Delaware State,SO,C,0.239,0.368,0.354,0.722,41,142,113,22,27,4,0,3,11,8,15,21,2,2
Jack Mislan,Lafayette,SO,LF,0.239,0.34,0.44,0.78,37,157,134,26,32,8,2,5,21,1,20,46,3,0
Eric Williams,Mississippi Valley State,SO,3B,0.239,0.345,0.301,0.646,49,206,176,20,42,6,1,1,23,4,25,42,5,0
Nick Diaz,College of Charleston,FR,RF,0.239,0.31,0.355,0.665,45,174,155,23,37,7,1,3,27,2,15,33,4,0
Sam Andersen,Dartmouth,FR,RF,0.239,0.353,0.301,0.654,36,136,113,17,27,1,3,0,17,5,15,22,10,3
Chris Baillargeon,Creighton,GR,1B,0.238,0.329,0.342,0.671,54,224,193,29,46,8,0,4,22,2,25,53,1,1
Brody Briggs,Arizona State,SO,C,0.238,0.374,0.301,0.675,48,182,143,23,34,3,0,2,19,4,29,25,2,1
Madden Ocko,Fordham,JR,3B,0.238,0.395,0.369,0.764,49,206,160,31,38,12,0,3,24,20,23,40,3,1
Daniel Contreras,Illinois,GR,C,0.238,0.309,0.335,0.645,46,184,164,24,39,7,0,3,22,6,11,21,4,0
Mack Mitchell,SIU Edwardsville,GR,2B,0.238,0.347,0.509,0.856,56,251,214,51,51,3,2,17,42,10,26,76,10,2
Donovan LaSalle,Louisiana,JR,RF,0.238,0.349,0.481,0.83,58,250,206,43,49,11,0,13,44,16,22,72,5,2
Antonelli Savattere,Houston,SR,2B,0.238,0.36,0.268,0.628,53,202,164,16,39,5,0,0,23,13,20,23,6,1
Mason Acton,Bellarmine,SO,C,0.238,0.364,0.317,0.68,41,122,101,11,24,5,0,1,15,3,17,28,0,0
